assembly,superkingdom,kingdom,phylum,class,order,family,genus,species,strain_isolate,accessions,curator_notes
GCF_000511115.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus larvae,DSM 25719,NZ_ADFW01000001.1-NZ_ADFW01000008.1,Includes plasmid pPLA1_10 (ADFW01000008.1) and multiple chromosomal scaffolds.
GCF_000988145.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus larvae,MEX14,NZ_LAWY01000001.1-NZ_LAWY01000139.1,Assembly at contig level.
GCF_001047455.1,Bacteria,undetermined,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Melissococcus,Melissococcus plutonius,21.1,NZ_JSAY01000001.1-NZ_JSAY01000008.1,none
GCF_001047395.1,Bacteria,undetermined,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Melissococcus,Melissococcus plutonius,49.3,NZ_CM003360.1,Complete plasmid pMP19 only.
GCF_001047545.1,Bacteria,undetermined,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Melissococcus,Melissococcus plutonius,60,NZ_JSBE01000001.1-NZ_JSBE01000013.1,none
GCF_001047595.1,Bacteria,undetermined,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Melissococcus,Melissococcus plutonius,82,NZ_JSBF01000001.1-NZ_JSBF01000014.1,none
GCF_001047445.1,Bacteria,undetermined,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Melissococcus,Melissococcus plutonius,90.0,NZ_JSAZ01000001.1-NZ_JSAZ01000015.1,none
GCF_001047515.1,Bacteria,undetermined,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Melissococcus,Melissococcus plutonius,119,NZ_JSBB01000001.1-NZ_JSBB01000017.1,none
GCF_001047465.1,Bacteria,undetermined,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Melissococcus,Melissococcus plutonius,764-5B,NZ_JSAV01000001.1-NZ_JSAV01000015.1,none
GCF_001047435.1,Bacteria,undetermined,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Melissococcus,Melissococcus plutonius,765-6B,NZ_JSAX01000001.1-NZ_JSAX01000010.1,none
GCF_000270185.1,Bacteria,undetermined,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Melissococcus,Melissococcus plutonius,ATCC 35311*,NC_015516.1-NC_015517.1,Includes complete chromosomal (NC_015516.1) and complete plasmid pMP1 (NC_015517.1).
GCF_001047405.1,Bacteria,undetermined,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Melissococcus,Melissococcus plutonius,B5,NZ_CM003359.1,Complete plasmid pMP43 only.
GCF_000283975.1,Bacteria,undetermined,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Melissococcus,Melissococcus plutonius,DAT561*,"NC_016938.1, NC_018265.1",Includes complete chromosomal (NC_016938.1) and complete plasmid 1 (NC_018265.1).
GCF_001047525.1,Bacteria,undetermined,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Melissococcus,Melissococcus plutonius,H6,NZ_JSBC01000001.1-NZ_JSBC01000011.1,none
GCF_001047555.1,Bacteria,undetermined,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Melissococcus,Melissococcus plutonius,L9,NZ_JSBD01000001.1-NZ_JSBD01000011.1,none
GCF_000970855.1,Bacteria,undetermined,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus helsingborgensis,Bma5,NZ_KQ034046.1-NZ_KQ034055.1,Isolate from Apis mellifera gut.
GCF_000970755.1,Bacteria,undetermined,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus kimbladii,Hma2,NZ_KQ034006.1-NZ_KQ034018.1,Isolate from Apis mellifera gut.
GCF_000967195.1,Bacteria,undetermined,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus kullabergensis,Biut2,NZ_KQ033870.1-NZ_KQ033876.1,Isolate from Apis mellifera gut.
GCF_000830375.1,Bacteria,undetermined,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus kunkeei,AR114,NZ_JPYX01000001.1-NZ_JPYX01000021.1,Isolate from Apis mellifera midgut.
GCF_000687335.1,Bacteria,undetermined,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus kunkeei,EFB6,NZ_AZBY01000001.1-NZ_AZBY01000055.1,Isolate from Apis mellifera larva.
GCF_001281165.1,Bacteria,undetermined,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus kunkeei,Fhon2,NZ_KQ440387.1-NZ_KQ440394.1,Isolate from Apis mellifera.
GCF_001281225.1,Bacteria,undetermined,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus kunkeei,LAan,NZ_JXCV01000001.1-NZ_JXCV01000024.1,Isolate from Apis andreniformis.
GCF_001421115.1,Bacteria,undetermined,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus kunkeei,LAce,NZ_JXCW01000001.1-NZ_JXCW01000008.1,Isoalte from Apis cerana.
GCF_001308205.1,Bacteria,undetermined,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus kunkeei,LAdo,NZ_JXDC01000001.1-NZ_JXDC01000009.1,Isolate from Apis dorsata.
GCF_001421135.1,Bacteria,undetermined,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus kunkeei,LAfl,NZ_JXCX01000001.1-NZ_JXCX01000014.1,Isolate from Apis florea.
GCF_001281205.1,Bacteria,undetermined,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus kunkeei,LAko,NZ_JXCY01000001.1-NZ_JXCY01000007.1,Isolate from Apis koschevnikovi.
GCF_001281215.1,Bacteria,undetermined,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus kunkeei,LAla,NZ_JXCZ01000001.1-NZ_JXCZ01000047.1,Isolate from Apis laboriosa.
GCF_001281285.1,Bacteria,undetermined,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus kunkeei,LAni,NZ_JXDA01000001.1-NZ_JXDA01000008.1,Isolate from Apis nigrocincta.
GCF_001308215.1,Bacteria,undetermined,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus kunkeei,LAnu,NZ_JXDD01000001.1-NZ_JXDD01000016.1,Isolate from Apis nuluensis.
GCF_000741865.1,Bacteria,undetermined,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus kunkeei,MP2,NZ_JPUI01000001.1-NZ_JPUI01000044.1,Isolate from Apis mellifera gut.
GCF_000970795.1,Bacteria,undetermined,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus mellifer,Bin4,NZ_KQ034028.1-NZ_KQ034038.1,Isolate from Apis mellifera gut.
GCF_000967245.1,Bacteria,undetermined,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus mellis,Hon2,NZ_KQ033877.1-NZ_KQ033883.1,Isolate from Apis mellifera gut.
GCF_000970775.1,Bacteria,undetermined,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus melliventris,Hma8,NZ_KQ034019.1-NZ_KQ034027.1,Isolate from Apis mellifera gut.
GCF_000760615.1,Bacteria,undetermined,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus sp. wkB10,wkB10,NZ_JRJB01000001.1-NZ_JRJB01000032.1,Isolate from Apis mellifera gut.
GCF_000761135.1,Bacteria,undetermined,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus sp. wkB8,wkB8,NZ_CP009531.1-NZ_CP009532.1,Isolate from Apis mellifera gut.  Complete chromosome (NZ_CP009531.1) and plasmid (NZ_CP009532.1) sequence. 
GCA_000725185.1*,Bacteria,undetermined,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Snodgrassella,Snodgrassella alvi,SCGC AB-598-O11,JAIK01000001.1-JAIK01000401.1,Isolate from Apis mellifera gut.
GCF_000600005.1,Bacteria,undetermined,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Snodgrassella,Snodgrassella alvi,wkB2,NZ_CP007446.1,Isolate from Apis mellifera gut. Complete chromosome only.
GCF_000807275.1,Bacteria,undetermined,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,Frischella perrara,PEB0191,NZ_CP009056.1,Isolate from Apis mellifera gut. Complete chromosome only.
GCA_000725165.1*,Bacteria,undetermined,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,Gilliamella apicola,SCGC AB-598-B02,JAIM01000001.1-JAIM01000544.1,Isolate from Apis mellifera gut.
GCA_000725175.1*,Bacteria,undetermined,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,Gilliamella apicola,SCGC AB-598-I20,JAIN01000001.1-JAIN01000389.1,Isolate from Apis mellifera gut.
GCA_000725245.1*,Bacteria,undetermined,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,Gilliamella apicola,SCGC AB-598-P17,JAIO01000001.1-JAIO01000296.1,Isolate from Apis mellifera gut.
GCF_000599985.1,Bacteria,undetermined,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,Gilliamella apicola,wkB1,NZ_CP007445.1,Isolate from Apis mellifera gut. Complete chromosome only.
GCF_000500935.1,Bacteria,undetermined,Tenericutes,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma apis,B31,NC_022998.1,Isolate from Apis mellifera.
GCF_000328865.1,Bacteria,undetermined,Tenericutes,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma melliferum,IPMB4A,NZ_AMGI01000001.1-NZ_AMGI01000024.1,Isolate from Apis mellifera.
GCF_000236085.2,Bacteria,undetermined,Tenericutes,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma melliferum,KC3,NZ_AGBZ02000001.1-NZ_AGBZ02000006.1,Complete plasmid pSme1 (NZ_AGBZ02000005.1) and pSme2 (NZ_AGBZ02000006.1) and chromosomal contigs (NZ_AGBZ02000001.1 to NZ_AGBZ02000004.1)
